qid,map
0,0.000000
1,0.333333
10,0.000000
100,1.000000
101,0.166667
102,0.500000
103,0.000000
104,0.000000
105,0.047619
106,1.000000
107,0.029412
108,1.000000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,1.000000
113,0.583333
114,0.125000
115,1.000000
116,1.000000
117,1.000000
118,1.000000
119,0.000000
12,0.035714
120,0.032258
121,0.076923
122,1.000000
123,0.000000
124,0.000000
125,0.500000
126,1.000000
127,0.200000
128,0.000000
129,1.000000
13,0.011111
130,0.333333
131,0.000000
132,0.000000
133,1.000000
134,0.333333
135,0.000000
136,0.000000
137,0.000000
138,0.200000
139,1.000000
14,1.000000
140,0.200000
141,0.052632
142,0.000000
143,0.000000
144,0.000000
145,0.000000
146,0.142857
147,0.000000
148,1.000000
149,0.000000
15,0.000000
150,0.000000
151,1.000000
152,0.166667
153,0.045455
154,0.000000
155,0.000000
156,0.038462
157,0.000000
158,0.000000
159,0.000000
16,1.000000
160,1.000000
161,0.083333
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.041667
168,0.000000
169,0.000000
17,0.000000
170,0.500000
171,0.450000
172,1.000000
173,0.000000
174,1.000000
175,0.200000
176,0.000000
177,0.000000
178,1.000000
179,0.000000
18,0.000000
180,0.000000
181,1.000000
182,0.000000
183,1.000000
184,1.000000
185,0.000000
186,1.000000
187,0.250000
188,0.000000
189,0.040000
19,0.500000
190,0.000000
191,0.045455
192,0.500000
193,0.000000
194,0.000000
195,0.000000
196,0.333333
197,0.083333
198,0.250000
199,0.000000
2,0.500000
20,0.200000
200,0.333333
201,1.000000
202,0.076923
203,1.000000
204,1.000000
205,0.000000
206,0.058824
207,0.000000
208,0.000000
209,0.000000
21,0.000000
210,0.166667
211,0.111111
212,0.020833
213,0.000000
214,0.000000
215,1.000000
216,0.055556
217,0.000000
218,0.000000
219,0.111111
22,0.031250
220,1.000000
221,0.000000
222,0.100000
223,1.000000
224,0.000000
225,0.000000
226,0.000000
227,0.500000
228,0.000000
229,0.000000
23,0.000000
230,0.333333
231,0.000000
232,1.000000
233,0.027778
234,0.000000
235,1.000000
236,0.000000
237,1.000000
238,0.000000
239,0.250000
24,0.000000
240,1.000000
241,0.071429
242,1.000000
243,0.500000
244,0.000000
245,1.000000
246,0.000000
247,0.200000
248,0.200000
249,0.000000
25,1.000000
250,0.000000
251,0.000000
252,0.000000
253,1.000000
254,1.000000
255,0.500000
256,0.500000
257,0.000000
258,0.500000
259,0.000000
26,0.272222
260,0.000000
261,0.000000
262,0.000000
263,0.333333
264,0.000000
265,0.000000
266,1.000000
267,1.000000
268,1.000000
269,0.000000
27,0.333333
270,1.000000
271,0.027778
272,0.000000
273,0.032258
274,1.000000
275,1.000000
276,1.000000
277,0.500000
278,0.000000
279,0.062500
28,0.125000
280,1.000000
281,0.333333
282,0.000000
283,1.000000
284,1.000000
285,0.090909
286,1.000000
287,0.500000
288,0.043478
289,1.000000
29,0.500000
290,0.200000
291,0.076923
292,0.000000
293,1.000000
294,0.125000
295,0.500000
296,0.111111
297,0.000000
298,0.166667
299,0.250000
3,0.000000
30,0.000000
300,0.055556
301,0.000000
302,0.000000
303,0.000000
304,0.111111
305,0.058824
306,0.050000
307,0.050000
308,0.000000
309,0.200000
31,0.500000
310,1.000000
311,0.015625
312,0.066667
313,0.166667
314,0.583333
315,0.025000
316,0.333333
317,1.000000
318,0.100000
319,0.142857
32,1.000000
320,0.066667
321,0.045455
322,0.500000
323,0.083333
324,0.000000
325,0.166667
326,0.000000
327,0.333333
328,0.045549
329,0.055556
33,1.000000
330,0.500000
331,0.000000
332,0.000000
333,0.000000
334,0.125000
335,0.011628
336,0.000000
337,0.000000
338,0.500000
339,0.083333
34,0.071429
340,0.000000
341,0.500000
342,0.250000
343,0.000000
344,0.000000
345,1.000000
346,0.500000
347,0.000000
348,0.000000
349,0.200000
35,0.000000
350,0.000000
351,1.000000
352,0.000000
353,0.000000
354,0.500000
355,1.000000
356,0.000000
357,1.000000
358,1.000000
359,0.500000
36,0.000000
360,0.000000
361,1.000000
362,0.000000
363,0.000000
364,0.000000
365,1.000000
366,0.000000
367,1.000000
368,1.000000
369,0.000000
37,0.100000
370,0.500000
371,0.000000
372,0.100000
373,0.500000
374,1.000000
375,0.500000
376,1.000000
377,1.000000
378,0.000000
379,0.111111
38,0.083333
380,0.038462
381,0.047619
382,0.000000
383,0.333333
384,0.058824
385,1.000000
386,1.000000
387,0.250000
388,1.000000
389,0.031250
39,0.000000
390,0.000000
391,1.000000
392,0.200000
393,0.166667
394,0.000000
395,0.000000
396,1.000000
397,0.000000
398,1.000000
399,0.166667
4,0.000000
40,0.200000
400,1.000000
401,0.000000
402,1.000000
403,0.000000
404,0.000000
405,0.500000
406,1.000000
407,1.000000
408,0.000000
409,0.000000
41,0.000000
410,0.200000
411,0.000000
412,0.333333
413,0.333333
414,0.000000
415,0.500000
416,0.333333
417,0.142857
418,1.000000
419,0.033333
42,0.416667
420,0.333333
421,0.500000
422,0.027027
423,0.000000
424,1.000000
425,1.000000
426,0.000000
427,0.000000
428,1.000000
429,0.083333
43,0.000000
430,1.000000
431,0.500000
432,0.500000
433,0.000000
434,1.000000
435,1.000000
436,0.033333
437,0.166667
438,0.142857
439,0.500000
44,0.023810
440,0.500000
441,1.000000
442,1.000000
443,1.000000
444,1.000000
445,0.076923
446,0.333333
447,1.000000
448,1.000000
449,1.000000
45,0.052632
450,0.000000
451,0.000000
452,0.500000
453,0.250000
454,0.043478
455,1.000000
456,1.000000
457,0.034483
458,0.500000
459,1.000000
46,0.500000
460,0.166667
461,0.250000
462,0.500000
463,0.027027
464,1.000000
465,1.000000
466,0.071429
467,0.000000
468,0.250000
469,0.125000
47,0.032258
470,0.500000
471,0.200000
472,0.090909
473,0.000000
474,1.000000
475,0.000000
476,1.000000
477,0.500000
478,1.000000
479,0.250000
48,0.142857
480,0.000000
481,1.000000
482,1.000000
483,0.500000
484,0.058824
485,0.125000
486,1.000000
487,1.000000
488,1.000000
489,0.166667
49,0.000000
490,1.000000
491,1.000000
492,1.000000
493,1.000000
494,0.500000
495,0.000000
496,0.000000
497,1.000000
498,0.071429
499,1.000000
5,0.052632
50,0.076923
500,1.000000
501,0.200000
502,0.043478
503,1.000000
504,0.047619
505,0.333333
506,0.000000
507,0.500000
508,1.000000
509,0.000000
51,0.038462
510,0.000000
511,0.076923
512,1.000000
513,1.000000
514,0.037037
515,0.037037
516,1.000000
517,1.000000
518,1.000000
519,0.333333
52,0.034483
520,0.071429
521,0.000000
522,0.200000
523,1.000000
524,0.033333
525,1.000000
526,1.000000
527,0.000000
528,0.500000
529,1.000000
53,0.125000
530,1.000000
531,0.500000
532,0.076923
533,0.333333
534,0.500000
535,1.000000
536,1.000000
537,1.000000
538,0.000000
539,0.200000
54,1.000000
540,0.000000
541,1.000000
542,1.000000
543,0.055556
544,0.000000
545,1.000000
546,1.000000
547,0.500000
548,1.000000
549,1.000000
55,0.000000
550,0.000000
551,1.000000
552,0.142857
553,1.000000
554,1.000000
555,0.500000
556,0.000000
557,0.020833
558,0.500000
559,0.500000
56,0.000000
560,0.142857
561,1.000000
562,1.000000
563,0.500000
564,0.062500
565,1.000000
566,0.000000
567,1.000000
568,1.000000
569,0.500000
57,1.000000
570,1.000000
571,1.000000
572,1.000000
573,1.000000
574,0.500000
575,0.000000
576,0.333333
577,1.000000
578,1.000000
579,0.000000
58,0.000000
580,0.027778
581,0.000000
582,1.000000
583,1.000000
584,1.000000
585,1.000000
586,1.000000
587,1.000000
588,1.000000
589,1.000000
59,0.000000
590,0.058824
591,0.031250
592,0.035714
593,0.500000
594,0.500000
595,0.000000
596,1.000000
6,0.250000
60,0.250000
61,0.000000
62,0.000000
63,0.000000
64,1.000000
65,0.033333
66,0.000000
67,0.000000
68,0.547619
69,0.031250
7,1.000000
70,0.000000
71,0.000000
72,0.052632
73,0.166667
74,0.500000
75,0.000000
76,0.125000
77,0.200000
78,0.111111
79,0.000000
8,0.008130
80,0.000000
81,0.500000
82,0.027778
83,0.111111
84,0.000000
85,1.000000
86,0.000000
87,0.000000
88,0.500000
89,0.200000
9,0.000000
90,1.000000
91,0.500000
92,0.000000
93,0.016129
94,0.066667
95,0.205128
96,0.166667
97,0.043478
98,1.000000
99,0.024390
