qid,ndcg@50
0,0.000000
1,0.500000
10,0.000000
100,1.000000
101,0.356207
102,0.613147
103,0.000000
104,0.000000
105,0.224244
106,1.000000
107,0.194959
108,1.000000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,1.000000
113,0.693426
114,0.315465
115,1.000000
116,1.000000
117,1.000000
118,1.000000
119,0.000000
12,0.156940
120,0.200000
121,0.262650
122,1.000000
123,0.000000
124,0.000000
125,0.630930
126,1.000000
127,0.386853
128,0.000000
129,1.000000
13,0.111006
130,0.500000
131,0.000000
132,0.000000
133,1.000000
134,0.500000
135,0.000000
136,0.000000
137,0.000000
138,0.386853
139,1.000000
14,1.000000
140,0.386853
141,0.231378
142,0.000000
143,0.000000
144,0.000000
145,0.000000
146,0.333333
147,0.000000
148,1.000000
149,0.000000
15,0.000000
150,0.000000
151,1.000000
152,0.356207
153,0.221065
154,0.000000
155,0.000000
156,0.161043
157,0.000000
158,0.000000
159,0.000000
16,1.000000
160,1.000000
161,0.270238
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.215338
168,0.000000
169,0.000000
17,0.000000
170,0.630930
171,0.624051
172,1.000000
173,0.000000
174,1.000000
175,0.386853
176,0.000000
177,0.000000
178,1.000000
179,0.000000
18,0.000000
180,0.000000
181,1.000000
182,0.000000
183,1.000000
184,1.000000
185,0.000000
186,1.000000
187,0.430677
188,0.000000
189,0.212746
19,0.630930
190,0.000000
191,0.221065
192,0.630930
193,0.000000
194,0.000000
195,0.000000
196,0.500000
197,0.270238
198,0.430677
199,0.000000
2,0.613147
20,0.386853
200,0.500000
201,1.000000
202,0.262650
203,1.000000
204,1.000000
205,0.000000
206,0.239812
207,0.000000
208,0.000000
209,0.000000
21,0.000000
210,0.356207
211,0.301030
212,0.178104
213,0.000000
214,0.000000
215,1.000000
216,0.235409
217,0.000000
218,0.000000
219,0.301030
22,0.198240
220,1.000000
221,0.000000
222,0.289065
223,1.000000
224,0.000000
225,0.000000
226,0.000000
227,0.630930
228,0.000000
229,0.000000
23,0.000000
230,0.500000
231,0.000000
232,1.000000
233,0.191959
234,0.000000
235,1.000000
236,0.000000
237,1.000000
238,0.000000
239,0.430677
24,0.000000
240,1.000000
241,0.255958
242,1.000000
243,0.630930
244,0.000000
245,1.000000
246,0.000000
247,0.386853
248,0.386853
249,0.000000
25,1.000000
250,0.000000
251,0.000000
252,0.000000
253,1.000000
254,1.000000
255,0.630930
256,0.630930
257,0.000000
258,0.630930
259,0.000000
26,0.497859
260,0.000000
261,0.000000
262,0.000000
263,0.500000
264,0.000000
265,0.000000
266,1.000000
267,1.000000
268,1.000000
269,0.000000
27,0.500000
270,1.000000
271,0.191959
272,0.000000
273,0.200000
274,1.000000
275,1.000000
276,1.000000
277,0.630930
278,0.000000
279,0.244651
28,0.315465
280,1.000000
281,0.500000
282,0.000000
283,1.000000
284,1.000000
285,0.278943
286,1.000000
287,0.630930
288,0.218104
289,1.000000
29,0.630930
290,0.386853
291,0.262650
292,0.000000
293,1.000000
294,0.315465
295,0.630930
296,0.301030
297,0.000000
298,0.356207
299,0.430677
3,0.000000
30,0.000000
300,0.235409
301,0.000000
302,0.000000
303,0.000000
304,0.301030
305,0.239812
306,0.227670
307,0.227670
308,0.000000
309,0.386853
31,0.630930
310,1.000000
311,0.121550
312,0.250000
313,0.356207
314,0.693426
315,0.186652
316,0.500000
317,1.000000
318,0.289065
319,0.333333
32,1.000000
320,0.250000
321,0.221065
322,0.630930
323,0.270238
324,0.000000
325,0.356207
326,0.000000
327,0.500000
328,0.246726
329,0.235409
33,1.000000
330,0.630930
331,0.000000
332,0.000000
333,0.000000
334,0.264068
335,0.112310
336,0.000000
337,0.000000
338,0.630930
339,0.270238
34,0.255958
340,0.000000
341,0.630930
342,0.430677
343,0.000000
344,0.000000
345,1.000000
346,0.630930
347,0.000000
348,0.000000
349,0.386853
35,0.000000
350,0.000000
351,1.000000
352,0.000000
353,0.000000
354,0.630930
355,1.000000
356,0.000000
357,1.000000
358,1.000000
359,0.630930
36,0.000000
360,0.000000
361,1.000000
362,0.000000
363,0.000000
364,0.000000
365,1.000000
366,0.000000
367,1.000000
368,1.000000
369,0.000000
37,0.289065
370,0.630930
371,0.000000
372,0.289065
373,0.630930
374,1.000000
375,0.630930
376,1.000000
377,1.000000
378,0.000000
379,0.301030
38,0.270238
380,0.210310
381,0.224244
382,0.000000
383,0.500000
384,0.239812
385,1.000000
386,1.000000
387,0.430677
388,1.000000
389,0.198240
39,0.000000
390,0.000000
391,1.000000
392,0.386853
393,0.356207
394,0.000000
395,0.000000
396,1.000000
397,0.000000
398,1.000000
399,0.356207
4,0.000000
40,0.386853
400,1.000000
401,0.000000
402,1.000000
403,0.000000
404,0.000000
405,0.630930
406,1.000000
407,1.000000
408,0.000000
409,0.000000
41,0.000000
410,0.386853
