qid,map
0,0.008130
1,1.000000
10,0.000000
100,0.066667
101,0.083333
102,0.086468
103,0.004255
104,0.037037
105,0.050000
106,0.500000
107,0.333333
108,1.000000
109,0.014706
11,0.005988
110,0.011236
111,0.000000
112,0.111111
113,0.012748
114,0.500000
115,0.200000
116,1.000000
117,0.142857
118,1.000000
119,0.000000
12,0.666667
120,0.006329
121,0.010989
122,1.000000
123,0.000000
124,0.002625
125,1.000000
126,0.022727
127,0.500000
128,0.000000
129,0.500000
13,0.285714
130,0.006944
131,0.019231
132,0.001042
133,1.000000
134,0.166667
135,0.000000
136,0.020833
137,0.011236
138,0.052632
139,0.011494
14,0.017544
140,0.200000
141,0.500000
142,0.000000
143,0.000000
144,0.040000
145,0.002469
146,0.076923
147,0.111111
148,1.000000
149,0.005848
15,0.013333
150,0.043207
151,0.500000
152,0.333333
153,0.050000
154,0.003448
155,0.000000
156,0.501880
157,0.013158
158,0.500000
159,0.022222
16,1.000000
160,1.000000
161,0.043478
162,0.001550
163,0.008197
164,0.055556
165,0.002809
166,0.008696
167,0.032258
168,0.001350
169,0.012048
17,0.000000
170,1.000000
171,0.101010
172,1.000000
173,0.001050
174,1.000000
175,0.250000
176,0.000000
177,0.333333
178,1.000000
179,0.000000
18,0.006265
180,0.142857
181,1.000000
182,0.003236
183,0.003300
184,1.000000
185,0.062500
186,1.000000
187,0.500000
188,0.004566
189,0.050000
19,0.333333
190,0.041667
191,0.166667
192,0.035714
193,0.015152
194,0.000000
195,0.100000
196,0.066667
197,0.142857
198,1.000000
199,0.002165
2,0.501992
20,1.000000
200,0.500000
201,0.166667
202,0.020833
203,1.000000
204,0.500000
205,0.005102
206,0.003876
207,0.001081
208,0.000000
209,0.004444
21,0.029412
210,1.000000
211,0.083333
212,0.125000
213,0.000000
214,0.026316
215,0.500000
216,0.250000
217,0.111111
218,0.025641
219,1.000000
22,0.200000
220,1.000000
221,0.018182
222,0.200000
223,1.000000
224,0.000000
225,0.071429
226,0.004274
227,1.000000
228,0.017544
229,0.250000
23,0.003135
230,0.010309
231,0.003788
232,1.000000
233,0.016393
234,0.025641
235,1.000000
236,0.020408
237,0.058824
238,0.000000
239,0.200000
24,0.000000
240,0.250000
241,0.045455
242,0.200000
243,0.166667
244,0.001211
245,0.043478
246,0.009709
247,0.500000
248,0.008621
249,0.005848
25,0.333333
250,0.016393
251,0.009434
252,0.002137
253,0.333333
254,1.000000
255,0.500000
256,0.500000
257,0.056949
258,0.500000
259,0.001302
26,0.750000
260,0.000000
261,0.043478
262,0.001832
264,0.002294
265,0.000000
266,0.033333
267,0.071429
268,0.011111
269,0.090909
27,0.100000
270,0.111111
271,0.058824
272,0.000000
273,0.166667
274,0.250000
275,1.000000
276,0.142857
277,0.250000
278,0.041667
279,0.066667
28,0.000000
280,1.000000
281,0.076923
282,0.004329
283,1.000000
284,0.500000
285,0.050000
286,0.166667
287,0.076923
288,0.500000
289,0.038462
29,0.500000
290,0.055556
291,0.019231
292,0.001689
293,1.000000
294,0.111111
295,1.000000
296,0.142857
297,0.001195
298,0.071429
299,0.142857
3,0.017863
30,0.003788
300,0.010101
301,0.142857
302,0.500000
303,0.007463
304,0.007634
305,1.000000
306,0.052632
307,0.008403
308,0.009174
309,0.500000
31,1.000000
310,0.142857
311,0.024074
312,0.027027
313,0.018868
314,0.024234
315,0.333333
316,0.333333
317,0.333333
318,0.500000
319,1.000000
32,0.166667
320,1.000000
321,0.009009
322,1.000000
323,0.111111
324,0.000000
325,0.250000
326,0.014706
327,0.333333
328,0.015952
329,1.000000
33,0.076923
330,1.000000
331,0.016949
332,0.026316
333,0.200000
334,0.022727
335,0.049534
336,0.008130
337,0.058824
338,0.200000
339,0.010204
34,0.000000
340,0.000000
341,0.011905
342,0.200000
343,0.002770
344,0.004237
345,1.000000
346,1.000000
347,0.002591
348,0.500000
349,0.029412
35,0.002469
350,0.040000
351,1.000000
352,0.200000
353,0.003846
354,0.166667
355,0.500000
356,0.001577
357,1.000000
358,1.000000
359,1.000000
36,0.040000
360,0.100000
361,0.500000
362,0.000000
363,0.005917
364,0.015385
365,1.000000
366,0.071429
367,1.000000
368,1.000000
369,0.002353
37,0.142857
370,0.500000
371,0.333333
372,0.333333
373,0.500000
374,0.090909
375,0.012195
376,1.000000
377,0.500000
378,0.003215
379,0.016667
38,0.066667
380,0.001715
381,0.250000
382,0.002268
383,1.000000
384,0.111111
385,0.100000
386,1.000000
387,1.000000
388,1.000000
389,0.066667
39,0.004348
390,0.008772
391,1.000000
392,0.030303
393,1.000000
394,1.000000
395,0.000000
396,0.500000
397,0.008065
398,0.018182
399,0.083333
4,0.000000
40,1.000000
400,1.000000
401,0.003195
402,1.000000
403,0.010989
404,0.010526
405,0.111111
406,0.166667
407,1.000000
408,0.000000
409,0.006024
41,0.001754
410,0.019231
411,0.000000
412,0.040000
413,1.000000
414,0.500000
415,0.066667
416,0.333333
417,0.142857
418,0.083333
419,0.055556
42,0.450000
420,0.023256
421,1.000000
422,0.003636
423,0.015625
424,1.000000
425,0.250000
426,0.031250
427,0.037037
428,0.023810
429,0.111111
43,0.166667
430,1.000000
431,0.020833
432,0.008197
433,0.013333
434,1.000000
435,1.000000
436,0.015625
437,0.038462
438,0.047619
439,0.076923
44,0.045455
440,0.333333
441,1.000000
442,1.000000
443,1.000000
444,1.000000
445,0.076923
446,0.333333
447,0.012658
448,1.000000
449,1.000000
45,0.066667
450,0.003067
451,0.000000
452,0.016949
453,0.007812
454,0.125000
455,1.000000
456,0.125000
457,0.043478
458,0.250000
459,0.500000
46,0.012987
460,0.043478
461,0.500000
462,0.050000
463,0.004237
464,1.000000
465,0.090909
466,0.011905
467,0.006452
468,0.003861
469,0.100000
47,0.166667
470,1.000000
471,0.333333
472,0.142857
473,0.006024
474,1.000000
475,0.007812
476,1.000000
477,0.000000
478,0.250000
479,1.000000
48,0.333333
480,0.001754
481,0.001225
482,1.000000
483,0.090909
484,0.071429
485,0.500000
486,1.000000
487,0.006944
488,0.250000
489,1.000000
49,0.013889
490,0.500000
491,1.000000
492,0.166667
493,1.000000
494,0.500000
495,0.000000
496,0.045455
497,1.000000
498,0.024390
499,0.038462
5,0.002203
50,0.043478
500,1.000000
501,0.200000
502,0.027027
503,1.000000
504,0.007299
505,0.500000
506,0.027027
507,0.029412
508,1.000000
509,0.014706
51,1.000000
510,0.010204
511,0.023256
512,0.014706
513,0.500000
514,0.100000
515,0.062500
516,1.000000
517,0.333333
518,0.166667
519,1.000000
52,1.000000
520,0.011765
521,0.200000
522,0.500000
523,1.000000
524,1.000000
525,1.000000
526,0.125000
527,0.111111
528,0.010000
529,0.500000
53,0.007143
530,1.000000
531,1.000000
532,1.000000
533,0.062500
534,0.083333
535,0.500000
536,1.000000
537,1.000000
538,0.002747
539,0.055556
54,1.000000
540,0.032258
541,1.000000
542,1.000000
543,0.500000
544,0.005587
545,1.000000
546,1.000000
547,0.500000
548,1.000000
549,1.000000
55,0.009091
550,0.001339
551,1.000000
552,0.100000
553,0.333333
554,0.017241
555,0.125000
556,0.004762
557,0.043478
558,0.100000
559,1.000000
56,0.002692
560,0.083333
561,0.200000
562,1.000000
563,0.142857
564,0.142857
565,0.083333
566,0.015625
567,1.000000
568,0.583333
569,0.250000
57,1.000000
570,0.500000
571,1.000000
572,0.500000
573,0.014706
574,0.500000
575,0.003125
576,0.500000
577,1.000000
578,1.000000
579,0.013158
58,0.000000
580,0.047619
581,0.033333
582,1.000000
583,0.090909
584,1.000000
585,0.142857
586,1.000000
587,0.142857
588,1.000000
589,1.000000
59,0.000000
590,0.003484
591,0.055556
592,0.004854
593,0.050000
594,0.333333
595,0.027778
596,1.000000
6,0.142857
60,0.083333
61,0.003322
62,0.003311
63,0.005000
64,1.000000
65,0.011098
66,0.014925
67,0.006849
68,0.074450
69,0.017241
7,0.071429
70,0.020408
71,0.023810
72,0.007937
73,0.200000
74,0.019231
75,0.006173
76,0.008696
77,0.200000
78,1.000000
79,1.000000
8,0.001678
80,0.252092
81,0.200000
82,0.062500
83,0.125000
84,0.011628
85,1.000000
86,0.001597
87,0.002128
88,1.000000
89,0.062500
9,0.500000
90,0.009804
91,0.003831
92,0.003044
93,0.022894
94,0.038462
95,0.007214
96,0.159663
97,0.038462
98,0.035714
99,0.500000
