qid,ndcg@50
0,0.000000
1,1.000000
10,0.000000
100,0.250000
101,0.270238
102,0.218407
103,0.000000
104,0.208015
105,0.227670
106,0.630930
107,0.500000
108,1.000000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.301030
113,0.000000
114,0.630930
115,0.386853
116,1.000000
117,0.333333
118,1.000000
119,0.000000
12,0.831555
120,0.000000
121,0.000000
122,1.000000
123,0.000000
124,0.000000
125,1.000000
126,0.182088
127,0.630930
128,0.000000
129,0.630930
13,0.513067
130,0.000000
131,0.000000
132,0.000000
133,1.000000
134,0.356207
135,0.000000
136,0.178104
137,0.000000
138,0.231378
139,0.000000
14,0.000000
140,0.386853
141,0.630930
142,0.000000
143,0.000000
144,0.212746
145,0.000000
146,0.262650
147,0.301030
148,1.000000
149,0.000000
15,0.000000
150,0.165696
151,0.630930
152,0.500000
153,0.227670
154,0.000000
155,0.000000
156,0.613147
157,0.000000
158,0.630930
159,0.181043
16,1.000000
160,1.000000
161,0.218104
162,0.000000
163,0.000000
164,0.235409
165,0.000000
166,0.000000
167,0.200000
168,0.000000
169,0.000000
17,0.000000
170,1.000000
171,0.315373
172,1.000000
173,0.000000
174,1.000000
175,0.430677
176,0.000000
177,0.500000
178,1.000000
179,0.000000
18,0.000000
180,0.333333
181,1.000000
182,0.000000
183,0.000000
184,1.000000
185,0.244651
186,1.000000
187,0.630930
188,0.000000
189,0.227670
19,0.500000
190,0.215338
191,0.356207
192,0.205847
193,0.000000
194,0.000000
195,0.289065
196,0.250000
197,0.333333
198,1.000000
199,0.000000
2,0.613147
20,1.000000
200,0.630930
201,0.356207
202,0.178104
203,1.000000
204,0.630930
205,0.000000
206,0.000000
207,0.000000
208,0.000000
209,0.000000
21,0.194959
210,1.000000
211,0.270238
212,0.315465
213,0.000000
214,0.189200
215,0.630930
216,0.430677
217,0.301030
218,0.187902
219,1.000000
22,0.386853
220,1.000000
221,0.000000
222,0.386853
223,1.000000
224,0.000000
225,0.255958
226,0.000000
227,1.000000
228,0.000000
229,0.430677
23,0.000000
230,0.000000
231,0.000000
232,1.000000
233,0.000000
234,0.187902
235,1.000000
236,0.177184
237,0.239812
238,0.000000
239,0.386853
24,0.000000
240,0.430677
241,0.221065
242,0.386853
243,0.356207
244,0.000000
245,0.218104
246,0.000000
247,0.630930
248,0.000000
249,0.000000
25,0.500000
250,0.000000
251,0.000000
252,0.000000
253,0.500000
254,1.000000
255,0.630930
256,0.630930
257,0.171033
258,0.630930
259,0.000000
26,0.877215
260,0.000000
261,0.218104
262,0.000000
264,0.000000
265,0.000000
266,0.201849
267,0.255958
268,0.000000
269,0.278943
27,0.289065
270,0.301030
271,0.239812
272,0.000000
273,0.356207
274,0.430677
275,1.000000
276,0.333333
277,0.430677
278,0.215338
279,0.250000
28,0.000000
280,1.000000
