qid,map
0,0.009804
1,1.000000
10,0.000000
100,1.000000
101,0.045455
102,0.501368
103,0.003650
104,0.125000
105,0.200000
106,0.333333
107,0.333333
108,1.000000
109,0.013158
11,0.125000
110,0.015625
111,0.000000
112,0.166667
113,0.583333
114,0.500000
115,0.111111
116,1.000000
117,1.000000
118,1.000000
119,0.009346
12,0.003356
120,1.000000
121,0.200000
122,1.000000
123,0.000000
124,0.016667
125,0.333333
126,0.500000
127,1.000000
128,0.000000
129,0.333333
13,0.075397
130,1.000000
131,0.076923
132,0.000000
133,0.500000
134,0.040000
135,0.004065
136,0.000000
137,0.002532
138,1.000000
139,1.000000
14,1.000000
140,0.090909
141,0.025641
142,0.000000
143,0.000000
144,0.050000
145,0.012987
146,1.000000
147,0.034483
148,1.000000
149,0.000000
15,0.010526
150,0.009653
151,1.000000
152,0.026316
153,1.000000
154,0.052632
155,0.000000
156,0.291667
157,0.000000
158,0.100000
159,0.066667
16,1.000000
160,1.000000
161,1.000000
162,0.000000
163,0.000000
164,0.000000
165,0.012500
166,0.000000
167,0.009901
168,0.001449
169,0.009259
17,0.000000
170,1.000000
171,0.666667
172,1.000000
173,0.003953
174,1.000000
175,0.500000
176,0.000000
177,0.066667
178,1.000000
179,0.000000
18,0.010193
180,0.090909
181,1.000000
182,0.200000
183,0.500000
184,1.000000
185,0.000000
186,1.000000
187,1.000000
188,0.333333
189,0.333333
19,0.333333
190,0.010638
191,0.500000
192,0.125000
193,0.055556
194,0.000000
195,0.005051
196,1.000000
197,0.058824
198,0.250000
199,0.000000
2,0.500000
20,0.333333
200,1.000000
201,0.166667
202,0.111111
203,0.142857
204,0.200000
205,0.010101
206,1.000000
207,0.000000
208,0.000000
209,1.000000
21,0.013889
210,1.000000
211,0.250000
212,0.062500
213,0.000000
214,0.000000
215,1.000000
216,0.142857
217,0.500000
218,0.010101
219,0.200000
22,0.125000
220,0.250000
221,0.003226
222,0.500000
223,1.000000
224,0.004255
225,1.000000
226,0.022222
227,0.013333
228,0.003534
229,0.027027
23,0.002525
230,0.050000
231,0.000000
232,1.000000
233,0.250000
234,0.022222
235,1.000000
236,0.004329
237,1.000000
238,0.000000
239,0.090909
24,0.007692
240,1.000000
241,0.250000
242,1.000000
243,1.000000
244,0.000000
245,0.333333
246,0.142857
247,1.000000
248,0.500000
249,0.006289
25,0.500000
250,0.000000
251,0.022727
252,0.035714
253,1.000000
254,1.000000
255,1.000000
256,0.333333
257,0.006173
258,0.043478
259,0.033333
26,0.361111
260,0.000000
261,0.000000
262,0.008403
263,0.500000
264,0.021277
265,0.047619
266,1.000000
267,1.000000
268,1.000000
269,0.000000
27,1.000000
270,1.000000
271,0.200000
272,0.018868
273,0.041667
274,1.000000
275,1.000000
276,1.000000
