qid,ndcg@50
0,0.235409
1,0.000000
10,0.000000
100,0.000000
101,0.630930
102,0.000000
103,0.000000
104,0.000000
105,0.000000
106,0.000000
107,0.333333
108,0.630930
109,0.333333
11,0.000000
110,0.000000
111,0.000000
112,0.000000
113,0.570642
114,0.000000
115,0.630930
116,1.000000
117,0.000000
118,1.000000
119,0.000000
12,0.000000
120,1.000000
121,0.000000
122,1.000000
123,0.000000
124,0.000000
125,1.000000
126,0.000000
127,1.000000
128,0.000000
129,0.000000
13,0.254041
130,0.000000
131,0.356207
132,0.000000
133,0.000000
134,0.000000
135,0.000000
136,0.000000
137,0.000000
138,0.000000
139,0.000000
14,1.000000
140,0.000000
141,1.000000
142,0.000000
143,0.000000
144,0.221065
145,0.227670
146,0.000000
147,0.000000
148,0.000000
149,0.000000
15,0.000000
150,0.000000
151,1.000000
152,0.000000
153,0.000000
154,0.000000
155,0.000000
156,0.613147
157,0.194959
158,0.430677
159,0.000000
16,0.000000
160,0.000000
161,0.430677
162,0.000000
163,0.205847
164,0.000000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.231378
17,0.181043
170,0.000000
171,0.000000
172,0.630930
173,0.262650
174,1.000000
175,0.630930
176,0.000000
177,0.000000
178,0.000000
179,0.000000
18,0.000000
180,0.000000
181,1.000000
182,0.000000
183,0.000000
184,1.000000
185,0.000000
186,0.630930
187,0.000000
188,1.000000
189,0.270238
19,0.000000
190,0.000000
191,0.212746
192,0.500000
193,0.000000
194,0.000000
195,0.000000
196,0.000000
197,0.000000
198,1.000000
199,0.000000
2,0.386853
20,0.000000
200,0.000000
201,0.430677
202,0.239812
203,0.430677
204,0.262650
205,0.000000
206,0.000000
207,0.000000
208,0.000000
209,0.205847
21,0.000000
210,0.000000
211,0.000000
212,0.000000
213,0.000000
214,0.000000
215,1.000000
216,0.000000
217,0.000000
218,0.000000
219,0.000000
22,0.000000
220,0.000000
221,0.000000
222,0.333333
223,0.278943
224,0.000000
225,0.289065
226,0.000000
227,0.630930
228,0.000000
229,0.000000
23,0.000000
230,0.000000
231,0.000000
232,1.000000
233,0.000000
234,0.000000
235,1.000000
236,0.000000
237,0.000000
238,0.000000
239,0.000000
24,0.000000
240,0.000000
241,0.000000
242,1.000000
243,0.000000
244,0.000000
245,0.000000
246,0.000000
247,0.000000
248,0.333333
249,0.000000
25,0.000000
250,0.000000
251,0.000000
252,0.333333
253,1.000000
254,1.000000
255,0.000000
256,1.000000
257,0.000000
258,0.000000
259,1.000000
26,0.650921
260,0.000000
261,0.000000
262,0.000000
263,0.500000
264,0.000000
265,0.000000
266,0.500000
267,0.000000
268,0.000000
269,0.000000
27,0.630930
270,1.000000
271,0.000000
272,0.196562
273,0.000000
274,1.000000
275,0.000000
276,1.000000
277,0.244651
278,0.000000
279,1.000000
28,0.000000
280,0.000000
281,1.000000
282,0.500000
283,1.000000
284,1.000000
285,0.289065
286,1.000000
287,0.000000
288,0.000000
289,0.500000
29,0.231378
290,0.000000
291,0.289065
292,0.000000
293,1.000000
294,0.000000
295,0.315465
296,0.500000
297,0.000000
298,0.270238
299,0.430677
3,0.000000
30,0.000000
300,0.000000
301,0.000000
302,0.000000
303,0.000000
304,0.000000
305,0.630930
306,0.231378
307,0.000000
308,0.000000
309,0.430677
31,0.000000
310,0.000000
311,0.000000
312,0.000000
313,1.000000
314,1.000000
315,0.000000
316,0.000000
317,0.000000
318,1.000000
319,0.224244
32,1.000000
320,0.000000
321,0.000000
322,0.630930
323,1.000000
324,0.000000
325,0.430677
326,0.193426
327,0.000000
328,0.000000
329,1.000000
33,0.000000
330,1.000000
331,0.000000
332,0.000000
333,0.227670
334,0.386853
335,0.335295
336,0.255958
337,0.000000
338,1.000000
339,0.000000
34,0.386853
340,0.000000
341,0.244651
342,0.430677
343,0.000000
344,0.000000
345,0.630930
346,0.000000
347,0.000000
348,0.000000
349,0.000000
35,0.000000
350,0.000000
351,0.000000
352,0.000000
353,0.000000
354,0.000000
355,0.000000
356,0.000000
357,0.000000
358,1.000000
359,0.630930
36,0.430677
360,0.000000
361,1.000000
362,0.000000
363,0.000000
364,0.000000
365,1.000000
366,0.000000
367,0.386853
368,0.630930
369,0.000000
37,0.289065
370,0.000000
371,0.000000
372,1.000000
373,0.000000
374,1.000000
375,0.500000
376,0.630930
377,0.000000
378,0.000000
379,1.000000
38,0.000000
380,0.000000
381,0.000000
382,0.289065
383,0.000000
384,0.500000
385,1.000000
386,0.224244
387,0.630930
388,0.356207
389,0.000000
39,0.000000
390,0.000000
391,1.000000
392,0.000000
393,0.430677
394,0.000000
395,0.000000
396,1.000000
397,0.000000
398,0.000000
399,0.630930
4,0.000000
40,0.000000
400,0.630930
401,0.000000
402,0.430677
403,0.000000
404,0.000000
405,1.000000
406,0.000000
407,0.000000
408,0.000000
409,0.000000
41,0.000000
410,0.000000
411,0.000000
412,0.000000
413,0.000000
414,0.386853
415,0.000000
416,0.000000
417,0.000000
418,0.000000
419,0.500000
42,0.193426
420,0.000000
421,0.000000
422,1.000000
423,0.000000
424,1.000000
425,0.000000
426,0.235409
427,0.000000
428,0.000000
429,0.000000
43,0.000000
430,1.000000
431,0.000000
432,0.000000
433,0.000000
434,0.630930
435,0.000000
436,0.289065
437,0.000000
438,1.000000
439,0.000000
44,0.235409
440,0.630930
441,1.000000
442,1.000000
443,1.000000
444,0.000000
