qid,map
0,0.076923
1,1.000000
10,0.000000
100,0.041667
101,0.200000
102,0.033333
103,0.034483
104,0.090909
105,0.200000
106,0.200000
107,0.166667
108,1.000000
109,0.000000
11,0.033333
110,0.035714
111,0.000000
112,0.166667
113,1.000000
114,0.071429
115,0.200000
116,0.500000
117,1.000000
118,1.000000
119,0.000000
12,0.208333
120,0.250000
121,0.062500
122,0.333333
123,0.000000
124,0.000000
125,1.000000
126,0.000000
127,1.000000
128,0.000000
129,0.083333
13,0.091270
130,0.100000
131,0.250000
132,0.000000
133,1.000000
134,0.100000
135,0.000000
136,0.024390
137,0.010870
138,1.000000
139,1.000000
14,1.000000
140,0.066667
141,1.000000
142,0.000000
143,0.000000
144,0.250000
145,0.011111
146,1.000000
147,0.111111
148,1.000000
149,0.000000
15,0.500000
150,0.083774
151,1.000000
152,0.000000
153,0.027027
154,0.020833
155,0.000000
156,0.527778
157,0.019231
158,0.500000
159,0.000000
16,1.000000
160,0.333333
161,0.027778
162,0.047619
163,0.014493
164,0.000000
165,0.090909
166,0.250000
167,0.071429
168,0.000000
169,0.100000
17,0.000000
170,1.000000
171,0.102381
172,0.200000
173,0.071429
174,1.000000
175,0.500000
176,0.000000
177,0.500000
178,0.166667
179,0.000000
18,0.026396
180,0.076923
181,1.000000
182,0.000000
183,1.000000
184,1.000000
185,0.000000
186,0.125000
187,1.000000
188,0.033333
189,1.000000
19,0.333333
190,1.000000
191,0.333333
192,0.142857
193,0.000000
194,0.000000
195,0.000000
196,0.333333
197,0.027027
198,0.500000
199,0.018182
2,0.250000
20,0.250000
200,1.000000
201,1.000000
202,1.000000
203,0.500000
204,1.000000
205,0.022222
206,0.000000
207,1.000000
208,0.000000
209,0.025000
21,0.058824
210,1.000000
211,0.000000
212,0.142857
213,0.000000
214,1.000000
215,1.000000
216,0.040000
217,0.071429
218,0.047619
219,0.200000
22,1.000000
220,0.500000
221,0.010989
222,0.333333
223,1.000000
224,0.000000
225,0.100000
226,0.000000
227,0.500000
228,0.000000
229,0.020833
23,0.014696
230,0.000000
231,0.000000
232,0.500000
233,0.333333
234,1.000000
235,1.000000
236,0.014925
237,0.166667
238,0.000000
239,1.000000
24,0.000000
240,1.000000
241,0.013699
242,0.500000
243,0.083333
244,0.000000
245,0.066667
246,0.500000
247,0.166667
248,0.047619
249,0.500000
25,0.033333
250,0.090909
251,0.014925
252,0.027778
253,0.333333
254,1.000000
255,0.200000
256,0.333333
257,0.100000
258,0.000000
259,0.200000
26,0.266667
260,0.000000
261,0.015625
262,0.041667
