qid,ndcg@50
0,0.262650
1,1.000000
10,0.000000
100,0.215338
101,0.386853
102,0.153287
103,0.203795
104,0.278943
105,0.386853
106,0.386853
107,0.356207
108,1.000000
109,0.000000
11,0.201849
110,0.205847
111,0.000000
112,0.356207
113,1.000000
114,0.255958
115,0.386853
116,0.630930
117,1.000000
118,1.000000
119,0.000000
12,0.429764
120,0.430677
121,0.244651
122,0.500000
123,0.000000
124,0.000000
125,1.000000
126,0.000000
127,1.000000
128,0.000000
129,0.270238
13,0.310790
130,0.289065
131,0.430677
132,0.000000
133,1.000000
134,0.289065
135,0.000000
136,0.185449
137,0.000000
138,1.000000
139,1.000000
14,1.000000
140,0.250000
141,1.000000
142,0.000000
143,0.000000
144,0.430677
145,0.000000
146,1.000000
147,0.301030
148,1.000000
149,0.000000
15,0.630930
150,0.204382
151,1.000000
152,0.000000
153,0.190551
154,0.178104
155,0.000000
156,0.730846
157,0.000000
158,0.630930
159,0.000000
16,1.000000
160,0.500000
161,0.191959
162,0.224244
163,0.000000
164,0.000000
165,0.278943
166,0.430677
167,0.255958
168,0.000000
169,0.289065
17,0.000000
170,1.000000
171,0.310227
172,0.386853
173,0.255958
174,1.000000
175,0.630930
176,0.000000
177,0.630930
178,0.356207
179,0.000000
18,0.069528
180,0.262650
181,1.000000
182,0.000000
183,1.000000
184,1.000000
185,0.000000
186,0.315465
187,1.000000
188,0.201849
189,1.000000
19,0.500000
190,1.000000
191,0.500000
192,0.333333
193,0.000000
194,0.000000
195,0.000000
196,0.500000
197,0.190551
198,0.630930
199,0.000000
2,0.386853
20,0.430677
200,1.000000
201,1.000000
202,1.000000
203,0.630930
204,1.000000
205,0.181043
206,0.000000
207,1.000000
208,0.000000
209,0.186652
21,0.239812
210,1.000000
211,0.000000
212,0.333333
213,0.000000
214,1.000000
215,1.000000
216,0.212746
217,0.255958
218,0.224244
219,0.386853
22,1.000000
220,0.630930
221,0.000000
222,0.500000
223,1.000000
224,0.000000
225,0.289065
226,0.000000
227,0.630930
228,0.000000
229,0.178104
23,0.085957
230,0.000000
231,0.000000
232,0.630930
233,0.500000
234,1.000000
235,1.000000
236,0.000000
237,0.356207
238,0.000000
239,1.000000
24,0.000000
240,1.000000
241,0.000000
242,0.630930
243,0.270238
244,0.000000
245,0.250000
246,0.630930
247,0.356207
248,0.224244
249,0.630930
25,0.201849
250,0.278943
251,0.000000
252,0.191959
253,0.500000
254,1.000000
255,0.386853
256,0.500000
257,0.237198
258,0.000000
259,0.386853
26,0.455605
260,0.000000
261,0.000000
262,0.215338
264,0.356207
265,0.000000
266,0.227670
267,0.239812
268,1.000000
269,0.000000
27,0.630930
270,0.630930
271,0.289065
272,0.000000
273,0.500000
274,0.500000
275,1.000000
276,0.430677
277,0.430677
278,0.000000
279,1.000000
28,0.000000
280,0.301030
281,1.000000
282,0.278943
283,1.000000
284,0.630930
285,0.250000
286,1.000000
287,1.000000
288,0.000000
289,0.000000
29,0.356207
290,0.356207
291,0.262650
292,0.000000
293,1.000000
294,0.255958
295,0.630930
296,0.500000
297,0.000000
298,0.301030
299,0.255958
3,0.000000
30,0.000000
300,0.181043
301,0.356207
302,1.000000
303,0.191959
304,0.235409
305,1.000000
306,0.194959
307,0.000000
308,0.183169
309,0.356207
31,1.000000
310,0.000000
311,0.000000
312,0.000000
313,1.000000
314,1.000000
315,0.386853
316,0.630930
317,1.000000
318,0.430677
319,0.289065
32,0.500000
320,0.500000
321,0.386853
322,1.000000
323,1.000000
324,0.000000
325,0.185449
326,0.212746
327,0.630930
328,0.000000
329,1.000000
33,0.255958
330,1.000000
331,0.278943
332,0.000000
333,1.000000
334,0.000000
335,0.262390
336,0.630930
337,0.186652
338,0.386853
339,0.630930
34,0.000000
340,0.000000
341,0.000000
342,0.315465
343,0.430677
344,1.000000
345,1.000000
346,0.000000
347,0.000000
348,0.218104
349,0.000000
35,0.000000
350,0.000000
351,1.000000
352,0.000000
353,0.000000
354,0.630930
355,0.289065
356,0.000000
357,0.301030
358,1.000000
359,1.000000
36,1.000000
360,0.000000
361,1.000000
362,0.000000
363,0.000000
364,0.000000
365,1.000000
366,0.250000
367,1.000000
368,0.215338
369,0.000000
37,1.000000
370,0.630930
371,0.500000
372,0.500000
373,1.000000
374,1.000000
375,0.262650
376,0.333333
377,0.244651
378,0.000000
379,0.430677
38,0.430677
380,0.000000
381,1.000000
382,0.000000
383,0.221065
384,0.333333
385,0.630930
386,1.000000
387,1.000000
388,1.000000
389,0.430677
39,0.185449
390,0.630930
391,0.356207
392,0.000000
393,1.000000
394,0.500000
395,0.000000
396,0.239812
397,0.430677
398,0.198240
399,0.000000
4,0.000000
40,0.630930
400,1.000000
401,0.386853
402,0.430677
403,0.000000
404,0.000000
405,0.500000
406,0.356207
407,1.000000
408,0.000000
409,0.000000
41,0.000000
410,0.000000
411,0.000000
412,0.315465
413,0.386853
414,1.000000
415,0.000000
416,1.000000
417,0.278943
418,0.356207
419,0.630930
42,0.520583
420,0.000000
421,0.180031
422,1.000000
423,0.183169
424,1.000000
425,1.000000
426,0.333333
427,0.221065
428,0.000000
429,0.000000
43,1.000000
430,1.000000
431,0.000000
432,0.000000
433,0.000000
434,1.000000
435,0.630930
436,0.255958
437,0.000000
438,0.244651
439,0.430677
44,0.000000
440,1.000000
441,1.000000
442,1.000000
443,1.000000
444,0.000000
445,0.630930
446,0.301030
447,0.356207
448,1.000000
449,0.630930
45,1.000000
450,0.630930
451,0.000000
452,0.000000
453,0.356207
454,0.630930
455,1.000000
456,0.333333
457,0.386853
458,0.191959
459,1.000000
46,0.000000
460,0.201849
461,1.000000
462,0.201849
463,0.239812
464,0.386853
465,1.000000
466,0.356207
467,0.000000
468,0.200000
469,0.000000
47,0.356207
470,0.500000
471,0.430677
472,0.430677
473,0.176291
474,1.000000
475,0.000000
476,0.430677
477,0.000000
478,0.500000
479,0.278943
48,1.000000
480,0.000000
481,0.000000
482,0.630930
483,1.000000
484,0.239812
485,1.000000
486,0.208015
487,1.000000
488,0.430677
489,0.227670
49,0.000000
490,0.356207
491,1.000000
492,0.235409
493,0.215338
494,1.000000
495,0.000000
496,0.000000
497,1.000000
498,0.630930
499,0.333333
5,0.333333
50,0.244651
500,0.630930
501,0.630930
502,0.000000
503,0.270238
504,0.000000
505,0.000000
506,0.198240
507,0.182088
508,1.000000
509,0.208015
51,0.500000
510,0.500000
511,0.630930
512,1.000000
513,1.000000
514,0.187902
515,0.224244
516,1.000000
517,0.218104
518,0.630930
519,0.630930
52,1.000000
520,1.000000
521,0.000000
522,0.000000
523,0.500000
524,1.000000
525,1.000000
526,1.000000
527,0.278943
528,0.262650
529,1.000000
53,0.237198
530,1.000000
531,0.270238
532,0.315465
533,0.221065
534,0.500000
535,0.630930
536,0.221065
537,1.000000
538,0.210310
539,0.270238
54,1.000000
540,1.000000
541,1.000000
542,0.000000
