qid,ndcg@50
0,0.000000
1,1.000000
10,0.000000
100,0.356207
101,0.000000
102,0.264068
103,0.386853
104,0.000000
105,0.000000
106,1.000000
107,0.000000
108,1.000000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,1.000000
113,1.000000
114,0.301030
115,0.000000
116,1.000000
117,1.000000
118,1.000000
119,0.000000
12,0.000000
120,0.500000
121,0.356207
122,1.000000
123,0.000000
124,0.000000
125,0.630930
126,0.250000
127,0.000000
128,0.000000
129,1.000000
13,0.000000
130,0.000000
131,0.000000
132,0.000000
133,1.000000
134,0.386853
135,0.000000
136,0.000000
137,0.000000
138,1.000000
139,1.000000
14,1.000000
140,0.630930
141,1.000000
142,0.000000
143,0.000000
144,0.000000
145,0.000000
146,0.000000
147,0.000000
148,0.630930
149,0.000000
15,0.000000
150,0.000000
151,1.000000
152,0.203795
153,0.500000
154,0.000000
155,0.000000
156,0.613147
157,0.000000
158,0.000000
159,0.000000
16,1.000000
160,1.000000
161,0.000000
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
17,0.000000
170,0.000000
171,0.613147
172,0.630930
173,0.000000
174,1.000000
175,0.500000
176,0.000000
177,0.000000
178,0.500000
179,0.000000
18,0.000000
180,0.000000
181,1.000000
182,0.278943
183,1.000000
184,1.000000
185,0.000000
186,1.000000
187,0.500000
188,0.000000
189,0.000000
19,0.630930
190,0.000000
191,0.000000
192,1.000000
193,0.000000
194,0.000000
195,0.000000
196,0.500000
197,0.000000
198,1.000000
199,0.000000
2,0.264068
20,0.000000
200,0.430677
201,1.000000
202,0.000000
203,0.500000
204,1.000000
205,0.000000
206,0.270238
207,0.000000
208,0.000000
209,0.000000
21,0.000000
210,1.000000
211,0.000000
212,0.000000
213,0.000000
214,0.000000
215,1.000000
216,0.000000
217,0.000000
218,0.000000
219,0.000000
22,1.000000
220,0.000000
221,0.000000
222,0.500000
223,1.000000
224,0.000000
225,0.000000
226,0.000000
227,1.000000
228,0.000000
229,0.000000
23,0.000000
230,0.000000
231,0.000000
232,0.630930
233,0.630930
234,0.000000
235,1.000000
236,0.000000
237,0.630930
238,0.000000
239,1.000000
24,0.000000
240,1.000000
241,0.000000
242,0.630930
243,0.430677
244,0.000000
245,0.630930
246,0.000000
247,0.430677
248,0.386853
249,0.000000
25,0.000000
250,0.000000
251,0.000000
252,0.000000
253,1.000000
254,1.000000
255,1.000000
256,0.000000
257,0.000000
258,0.278943
259,0.000000
26,0.264068
260,0.000000
261,0.000000
262,0.000000
263,1.000000
264,1.000000
265,0.000000
266,0.630930
267,1.000000
268,0.630930
269,0.000000
27,1.000000
270,1.000000
271,0.000000
272,0.000000
273,0.000000
274,0.500000
275,1.000000
276,1.000000
277,0.356207
278,0.000000
279,1.000000
28,1.000000
