qid,ap
0,0.014493
1,1.000000
10,0.000000
100,0.055556
101,0.100000
102,0.071429
103,0.018519
104,0.500000
105,0.200000
106,0.333333
107,0.200000
108,1.000000
109,0.000000
11,0.200000
110,0.000000
111,0.000000
112,0.250000
113,1.000000
114,0.000000
115,0.333333
116,1.000000
117,1.000000
118,1.000000
119,0.166667
12,0.023810
120,0.200000
121,0.018868
122,1.000000
123,0.000000
124,0.010000
125,0.500000
126,0.000000
127,1.000000
128,0.000000
129,1.000000
13,0.040203
130,0.125000
131,0.500000
132,0.000000
133,1.000000
134,0.083333
135,0.027778
136,0.000000
137,0.000000
138,1.000000
139,1.000000
14,1.000000
140,0.333333
141,1.000000
142,0.000000
143,0.000000
144,0.333333
145,0.022222
146,0.100000
147,0.017544
148,0.125000
149,0.000000
15,1.000000
150,0.025000
151,1.000000
152,0.000000
153,0.200000
154,0.052632
155,0.000000
156,0.517241
157,0.000000
158,0.166667
159,0.000000
16,1.000000
160,1.000000
161,0.033333
162,0.000000
163,0.000000
164,0.000000
165,0.019231
166,0.000000
167,0.023810
168,0.000000
169,0.200000
17,0.000000
170,1.000000
171,1.000000
172,0.333333
173,0.166667
174,0.500000
175,0.333333
176,0.000000
177,0.250000
178,0.333333
179,0.000000
18,0.003247
180,0.034483
181,1.000000
182,0.000000
183,1.000000
184,1.000000
185,0.000000
186,0.333333
187,0.333333
188,0.500000
189,1.000000
19,0.250000
190,0.090909
191,0.090909
192,0.250000
193,0.000000
194,0.000000
195,0.000000
196,0.333333
197,0.019608
198,1.000000
199,0.000000
2,0.083333
20,0.166667
200,0.066667
201,1.000000
202,0.125000
203,0.250000
204,1.000000
205,0.017857
206,0.000000
207,0.000000
208,0.000000
209,0.125000
21,0.066667
210,0.500000
211,0.015625
212,0.050000
213,0.000000
214,0.000000
215,1.000000
216,0.062500
217,0.037037
218,0.035714
219,0.500000
22,0.500000
220,0.125000
221,0.020408
222,0.200000
223,1.000000
224,0.000000
225,1.000000
226,0.000000
227,1.000000
228,0.000000
229,0.014706
23,0.003663
230,0.055556
231,0.000000
232,0.250000
233,0.200000
234,0.125000
235,1.000000
236,0.076923
237,0.250000
238,0.000000
239,0.200000
24,0.018182
240,0.500000
241,0.125000
242,0.500000
243,0.027027
244,0.000000
245,0.166667
246,0.250000
247,0.200000
248,0.166667
249,0.000000
25,0.142857
250,0.000000
251,0.000000
252,0.333333
253,0.500000
254,1.000000
255,1.000000
256,0.041667
257,0.035714
258,0.017857
259,1.000000
26,0.277778
260,0.000000
261,0.000000
262,0.200000
263,1.000000
264,0.200000
265,0.000000
266,0.250000
267,0.090909
268,0.250000
269,0.000000
27,1.000000
270,1.000000
271,0.166667
272,0.015625
273,1.000000
274,0.333333
275,1.000000
276,1.000000
277,0.142857
278,0.000000
279,1.000000
28,0.100000
280,0.250000
281,1.000000
282,0.111111
283,1.000000
284,1.000000
285,0.066667
286,1.000000
287,1.000000
288,0.062500
289,1.000000
29,0.200000
290,1.000000
291,0.066667
292,0.000000
293,1.000000
294,0.000000
295,0.200000
296,0.333333
297,0.000000
298,0.200000
299,0.062500
3,0.000000
30,0.006757
300,0.500000
301,0.010989
302,0.500000
303,0.071429
304,0.076923
305,1.000000
306,0.010870
307,0.000000
308,0.000000
309,0.111111
31,1.000000
310,0.013333
311,0.010870
312,0.047619
313,1.000000
314,1.000000
315,0.100000
316,0.500000
317,0.250000
318,0.333333
319,0.013333
32,0.333333
320,0.071429
321,0.031250
322,1.000000
323,1.000000
324,0.000000
325,0.022727
326,0.000000
327,0.200000
328,0.037195
329,1.000000
33,0.047619
330,1.000000
331,0.000000
332,0.000000
333,0.250000
334,0.022727
335,0.023065
336,1.000000
337,0.024390
338,0.333333
339,0.333333
34,1.000000
340,0.000000
341,0.500000
342,0.027778
343,0.000000
344,0.333333
345,1.000000
346,0.011111
347,0.018868
348,0.018868
349,0.013514
35,0.000000
350,0.000000
351,1.000000
352,0.012821
353,0.000000
354,0.100000
355,0.250000
356,0.014706
357,0.038462
358,1.000000
359,0.500000
36,0.333333
360,0.000000
361,1.000000
362,0.000000
363,0.000000
364,0.011628
365,1.000000
366,0.033333
367,0.500000
368,0.017857
369,0.000000
37,1.000000
370,1.000000
371,0.250000
372,0.021739
373,1.000000
374,0.500000
375,0.333333
376,0.090909
377,0.125000
378,0.000000
379,0.333333
38,0.066667
380,0.000000
381,0.055556
382,0.000000
383,0.020408
384,0.055556
385,0.333333
386,0.090909
387,1.000000
388,0.500000
389,0.058824
39,0.027027
390,0.052632
391,1.000000
392,0.071429
393,0.166667
394,0.038462
395,0.000000
396,0.500000
397,0.000000
398,1.000000
399,0.083333
4,0.100000
40,0.142857
400,0.100000
401,0.333333
402,0.040000
403,0.000000
404,0.000000
405,1.000000
406,1.000000
407,1.000000
408,1.000000
409,0.013158
41,0.000000
410,0.076923
411,0.000000
412,0.200000
413,0.076923
414,0.333333
415,0.000000
416,0.250000
417,0.200000
418,1.000000
419,0.500000
42,0.416667
420,0.000000
421,0.071429
422,1.000000
423,0.037037
424,0.250000
425,1.000000
426,0.083333
427,0.045455
428,0.047619
429,0.012048
43,0.500000
430,1.000000
431,0.018868
432,0.016667
433,0.000000
434,1.000000
435,0.166667
436,0.071429
437,0.090909
438,0.083333
439,0.043478
44,0.011364
440,0.200000
441,1.000000
442,1.000000
443,1.000000
444,0.000000
445,0.041667
446,0.250000
447,0.500000
448,1.000000
449,0.066667
45,1.000000
450,0.500000
451,0.000000
452,0.500000
453,0.025641
454,1.000000
455,1.000000
456,0.034483
457,0.111111
458,0.333333
459,1.000000
46,0.000000
460,0.111111
461,0.500000
462,1.000000
463,0.076923
464,0.062500
465,1.000000
466,0.166667
467,0.040000
468,0.000000
469,0.011364
47,0.058824
470,0.250000
471,0.027778
472,0.111111
473,0.000000
474,1.000000
475,0.032258
476,0.250000
477,0.333333
478,0.014085
479,0.100000
48,0.500000
480,0.000000
481,0.125000
482,0.500000
483,1.000000
484,0.200000
485,0.500000
486,1.000000
487,0.083333
488,0.200000
489,0.500000
49,0.000000
490,0.500000
491,1.000000
492,0.142857
493,0.142857
494,0.076923
495,1.000000
496,0.011905
497,1.000000
498,0.250000
499,1.000000
5,0.500000
50,0.333333
500,0.333333
501,0.125000
502,0.000000
503,1.000000
504,0.000000
505,0.142857
506,0.000000
507,0.017241
508,1.000000
509,0.333333
51,0.333333
510,0.071429
511,1.000000
512,0.500000
513,1.000000
514,0.125000
515,0.125000
516,1.000000
517,0.045455
518,1.000000
519,0.071429
52,0.062500
520,1.000000
521,0.011111
522,0.000000
523,0.076923
524,1.000000
525,1.000000
526,0.111111
527,0.000000
528,0.043478
529,1.000000
53,0.500000
530,1.000000
531,0.250000
532,0.027778
533,0.026316
534,0.500000
535,1.000000
536,0.333333
537,1.000000
538,0.000000
539,0.125000
54,1.000000
540,0.125000
541,1.000000
542,0.500000
543,0.014706
544,0.000000
545,1.000000
546,1.000000
547,0.500000
548,0.500000
549,0.013158
55,0.016667
550,0.166667
551,0.333333
552,0.047619
553,1.000000
554,0.011494
555,0.250000
556,0.012346
557,0.025000
558,0.142857
559,0.000000
56,0.005435
560,0.020833
561,0.250000
562,1.000000
563,1.000000
564,0.034483
565,0.000000
566,0.000000
567,1.000000
568,0.583333
569,0.500000
57,1.000000
570,1.000000
571,1.000000
572,1.000000
573,0.333333
574,0.500000
575,0.021739
576,0.333333
