qid,ndcg@50
0,0.000000
1,1.000000
10,0.000000
100,0.235409
101,0.289065
102,0.204382
103,0.000000
104,0.630930
105,0.386853
106,0.500000
107,0.386853
108,1.000000
109,0.000000
11,0.386853
110,0.000000
111,0.000000
112,0.430677
113,1.000000
114,0.000000
115,0.500000
116,1.000000
117,1.000000
118,1.000000
119,0.356207
12,0.137494
120,0.386853
121,0.000000
122,1.000000
123,0.000000
124,0.000000
125,0.630930
126,0.000000
127,1.000000
128,0.000000
129,1.000000
13,0.137494
130,0.315465
131,0.630930
132,0.000000
133,1.000000
134,0.270238
135,0.191959
136,0.000000
137,0.000000
138,1.000000
139,1.000000
14,1.000000
140,0.500000
141,1.000000
142,0.000000
143,0.000000
144,0.500000
145,0.181043
146,0.289065
147,0.000000
148,0.315465
149,0.000000
15,1.000000
150,0.139595
151,1.000000
152,0.000000
153,0.386853
154,0.231378
155,0.000000
156,0.613147
157,0.000000
158,0.356207
159,0.000000
16,1.000000
160,1.000000
161,0.201849
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.184289
168,0.000000
169,0.386853
17,0.000000
170,1.000000
171,1.000000
172,0.500000
173,0.356207
174,0.630930
175,0.500000
176,0.000000
177,0.430677
178,0.500000
179,0.000000
18,0.000000
180,0.203795
181,1.000000
182,0.000000
183,1.000000
184,1.000000
185,0.000000
186,0.500000
187,0.500000
188,0.630930
189,1.000000
19,0.430677
190,0.278943
191,0.278943
192,0.430677
193,0.000000
194,0.000000
195,0.000000
196,0.500000
197,0.000000
198,1.000000
199,0.000000
2,0.218407
20,0.356207
200,0.250000
201,1.000000
202,0.315465
203,0.430677
204,1.000000
205,0.000000
206,0.000000
207,0.000000
208,0.000000
209,0.315465
21,0.250000
210,0.630930
211,0.000000
212,0.227670
213,0.000000
214,0.000000
215,1.000000
216,0.244651
217,0.208015
218,0.205847
219,0.630930
22,0.630930
220,0.315465
221,0.177184
222,0.386853
223,1.000000
224,0.000000
225,1.000000
226,0.000000
227,1.000000
228,0.000000
229,0.000000
23,0.000000
230,0.235409
231,0.000000
232,0.430677
233,0.386853
234,0.315465
235,1.000000
236,0.262650
237,0.430677
238,0.000000
239,0.386853
24,0.000000
240,0.630930
241,0.315465
242,0.630930
243,0.190551
244,0.000000
245,0.356207
246,0.430677
247,0.386853
248,0.356207
249,0.000000
25,0.333333
250,0.000000
251,0.000000
252,0.500000
253,0.630930
254,1.000000
255,1.000000
256,0.215338
257,0.156940
258,0.000000
259,1.000000
26,0.491149
260,0.000000
261,0.000000
262,0.386853
263,1.000000
264,0.386853
265,0.000000
266,0.430677
267,0.278943
268,0.430677
269,0.000000
27,1.000000
270,1.000000
271,0.356207
272,0.000000
273,1.000000
274,0.500000
275,1.000000
276,1.000000
277,0.333333
278,0.000000
279,1.000000
28,0.289065
