qid,map
0,0.000000
1,0.250000
10,0.000000
100,1.000000
101,0.058824
102,0.071429
103,0.000000
104,0.000000
105,0.000000
106,0.111111
107,0.000000
108,0.200000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.047619
113,0.084967
114,0.033333
115,0.024390
116,0.500000
117,0.034483
118,1.000000
119,0.000000
12,0.000000
120,0.025641
121,0.090909
122,0.250000
123,0.000000
124,0.000000
125,0.050000
126,0.166667
127,0.333333
128,0.000000
129,0.045455
13,0.000000
130,0.034483
131,0.000000
132,0.000000
133,0.500000
134,0.000000
135,0.000000
136,0.000000
137,0.000000
138,0.200000
139,0.500000
14,1.000000
140,0.033333
141,0.083333
142,0.000000
143,0.000000
144,0.000000
145,0.000000
146,0.000000
147,0.000000
148,0.200000
149,0.000000
15,0.000000
150,0.000000
151,0.500000
152,0.000000
153,0.040000
154,0.000000
155,0.000000
156,0.012821
157,0.000000
158,0.000000
159,0.000000
16,0.333333
160,0.027778
161,0.000000
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
17,0.000000
170,0.000000
171,0.050000
172,0.100000
173,0.000000
174,0.040000
175,0.111111
176,0.000000
177,0.000000
178,1.000000
179,0.000000
18,0.000000
180,0.000000
181,0.250000
182,0.000000
183,0.500000
184,0.250000
185,0.000000
186,0.166667
187,0.000000
188,0.000000
189,0.000000
19,0.055556
190,0.000000
191,0.000000
192,0.000000
193,0.000000
194,0.000000
195,0.000000
196,0.142857
197,0.000000
198,0.000000
199,0.000000
2,0.500000
20,0.076923
200,0.000000
201,0.038462
202,0.000000
203,0.000000
204,0.000000
205,0.000000
206,0.047619
207,0.000000
208,0.000000
209,0.000000
21,0.000000
210,0.033333
211,0.000000
212,0.000000
213,0.000000
214,0.000000
215,0.333333
216,0.000000
217,0.000000
218,0.000000
219,0.000000
22,0.166667
220,0.000000
221,0.000000
222,0.000000
223,0.200000
224,0.000000
225,0.000000
226,0.000000
227,0.047619
228,0.000000
229,0.000000
23,0.000000
230,0.100000
231,0.000000
232,1.000000
233,0.000000
234,0.000000
235,0.416667
236,0.000000
237,1.000000
238,0.000000
239,0.020000
24,0.000000
240,1.000000
241,0.000000
242,0.333333
243,0.200000
244,0.000000
245,0.166667
246,0.000000
247,0.040000
248,0.166667
249,0.000000
25,0.250000
250,0.000000
251,0.000000
252,0.000000
253,0.052632
254,0.250000
255,0.000000
256,0.500000
257,0.000000
258,0.200000
259,0.111111
26,0.071429
260,0.000000
261,0.000000
262,0.000000
263,0.125000
264,0.000000
265,0.000000
266,1.000000
267,0.333333
268,0.000000
269,0.000000
27,0.142857
270,0.500000
271,1.000000
272,0.000000
273,0.000000
274,0.142857
275,1.000000
276,0.058824
277,0.500000
278,0.000000
279,0.500000
28,0.500000
280,0.071429
281,0.035714
282,0.000000
283,1.000000
284,0.500000
285,0.000000
286,1.000000
287,0.142857
288,0.000000
289,0.200000
29,0.000000
290,0.066667
291,0.111111
