qid,ndcg@50
0,0.000000
1,0.430677
10,0.000000
100,1.000000
101,0.239812
102,0.204382
103,0.000000
104,0.000000
105,0.000000
106,0.301030
107,0.000000
108,0.386853
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.224244
113,0.291381
114,0.201849
115,0.185449
116,0.630930
117,0.203795
118,1.000000
119,0.000000
12,0.000000
120,0.187902
121,0.278943
122,0.430677
123,0.000000
124,0.000000
125,0.227670
126,0.356207
127,0.500000
128,0.000000
129,0.221065
13,0.000000
130,0.203795
131,0.000000
132,0.000000
133,0.630930
134,0.000000
135,0.000000
136,0.000000
137,0.000000
138,0.386853
139,0.630930
14,1.000000
140,0.201849
141,0.270238
142,0.000000
143,0.000000
144,0.000000
145,0.000000
146,0.000000
147,0.000000
148,0.386853
149,0.000000
15,0.000000
150,0.000000
151,0.630930
152,0.000000
153,0.212746
154,0.000000
155,0.000000
156,0.115211
157,0.000000
158,0.000000
159,0.000000
16,0.500000
160,0.191959
161,0.000000
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
17,0.000000
170,0.000000
171,0.177239
172,0.289065
173,0.000000
174,0.212746
175,0.301030
176,0.000000
177,0.000000
178,1.000000
179,0.000000
18,0.000000
180,0.000000
181,0.430677
182,0.000000
183,0.630930
184,0.430677
185,0.000000
186,0.356207
187,0.000000
188,0.000000
189,0.000000
19,0.235409
190,0.000000
191,0.000000
192,0.000000
193,0.000000
194,0.000000
195,0.000000
196,0.333333
197,0.000000
198,0.000000
199,0.000000
2,0.613147
20,0.262650
200,0.000000
201,0.210310
202,0.000000
203,0.000000
204,0.000000
205,0.000000
206,0.224244
207,0.000000
208,0.000000
209,0.000000
21,0.000000
210,0.201849
211,0.000000
212,0.000000
213,0.000000
214,0.000000
215,0.500000
216,0.000000
217,0.000000
218,0.000000
219,0.000000
22,0.356207
220,0.000000
221,0.000000
222,0.000000
223,0.386853
224,0.000000
225,0.000000
226,0.000000
227,0.224244
228,0.000000
229,0.000000
23,0.000000
230,0.289065
231,0.000000
232,1.000000
233,0.000000
234,0.000000
235,0.570642
236,0.000000
237,1.000000
238,0.000000
239,0.176291
24,0.000000
240,1.000000
241,0.000000
242,0.500000
243,0.386853
244,0.000000
245,0.356207
246,0.000000
247,0.212746
248,0.356207
249,0.000000
25,0.430677
250,0.000000
251,0.000000
252,0.000000
253,0.231378
254,0.430677
255,0.000000
256,0.630930
257,0.000000
258,0.386853
259,0.301030
26,0.204382
260,0.000000
261,0.000000
262,0.000000
263,0.315465
264,0.000000
265,0.000000
266,1.000000
267,0.500000
268,0.000000
269,0.000000
27,0.333333
270,0.630930
271,1.000000
272,0.000000
273,0.000000
274,0.333333
275,1.000000
276,0.239812
277,0.630930
278,0.000000
279,0.630930
28,0.630930
280,0.255958
281,0.205847
282,0.000000
283,1.000000
284,0.630930
285,0.000000
286,1.000000
287,0.333333
288,0.000000
289,0.386853
29,0.000000
290,0.250000
291,0.301030
292,0.000000
293,0.500000
294,0.194959
295,0.000000
296,0.000000
297,0.000000
298,0.000000
299,0.000000
3,0.111647
30,0.000000
300,0.000000
301,0.000000
302,0.000000
303,0.000000
304,0.000000
305,0.218104
306,0.182088
307,0.196562
308,0.000000
309,0.000000
31,0.315465
310,0.218104
311,0.000000
312,0.000000
313,0.000000
314,0.243681
315,0.000000
316,0.386853
317,1.000000
318,0.000000
319,0.193426
32,0.333333
320,0.000000
321,0.000000
322,0.386853
323,0.000000
324,0.000000
325,0.182088
326,0.000000
327,0.000000
328,0.139595
329,0.000000
33,0.430677
330,1.000000
331,0.000000
332,0.000000
333,0.000000
334,0.000000
335,0.000000
336,0.000000
337,0.000000
338,0.000000
339,0.000000
34,0.000000
340,0.000000
341,0.218104
342,0.000000
343,0.000000
344,0.000000
345,1.000000
346,0.191959
347,0.000000
348,0.000000
349,0.186652
35,0.000000
350,0.000000
351,0.430677
352,0.000000
353,0.000000
354,0.000000
355,0.630930
356,0.000000
357,0.000000
358,1.000000
359,0.356207
36,0.198240
360,0.000000
361,0.630930
362,0.000000
363,0.000000
364,0.000000
365,0.000000
366,0.000000
367,0.315465
368,0.315465
369,0.000000
37,0.191959
370,0.430677
371,0.000000
372,0.255958
373,0.386853
374,0.630930
375,0.430677
376,0.356207
377,0.262650
378,0.000000
379,0.278943
38,0.000000
380,0.000000
381,0.000000
382,0.000000
383,0.000000
384,0.000000
385,0.000000
386,0.262650
387,0.180031
388,0.430677
389,0.000000
39,0.000000
390,0.000000
391,0.315465
392,0.000000
393,0.000000
394,0.000000
395,0.000000
396,0.430677
397,0.000000
398,0.218104
399,0.239812
4,0.000000
40,0.000000
400,0.386853
401,0.000000
402,0.000000
403,0.000000
404,0.000000
405,0.000000
406,0.000000
407,0.630930
408,0.191959
409,0.000000
41,0.000000
410,0.315465
411,0.000000
412,0.386853
413,0.630930
414,0.000000
415,0.301030
416,0.000000
417,0.000000
418,0.630930
419,0.000000
42,0.547896
420,0.224244
421,0.250000
422,0.000000
423,0.000000
424,0.000000
425,1.000000
426,0.000000
427,0.000000
428,0.315465
429,0.000000
43,0.000000
430,0.000000
431,0.500000
432,0.000000
433,0.000000
434,0.270238
435,1.000000
436,0.000000
437,0.250000
438,0.000000
439,0.289065
44,0.235409
440,0.430677
441,1.000000
442,0.630930
443,1.000000
444,0.000000
445,0.000000
446,0.179052
447,0.500000
448,1.000000
449,0.315465
45,0.000000
450,0.270238
451,0.000000
452,0.000000
453,0.000000
454,0.000000
455,1.000000
456,0.215338
457,0.500000
458,0.356207
459,0.630930
46,0.500000
460,0.179052
461,0.356207
462,0.356207
463,0.205847
464,0.430677
465,0.231378
466,0.244651
467,0.000000
468,0.203795
469,0.356207
47,0.000000
470,0.430677
471,0.000000
472,0.208015
473,0.000000
474,0.356207
475,0.000000
476,1.000000
477,0.500000
478,0.212746
479,0.000000
48,0.333333
480,0.000000
481,0.315465
482,0.000000
483,0.208015
484,0.000000
485,0.333333
486,1.000000
487,0.187902
488,0.386853
489,0.000000
49,0.000000
490,0.430677
491,0.500000
492,0.356207
493,0.500000
494,0.500000
495,0.000000
496,0.000000
497,0.356207
498,0.000000
499,0.430677
5,1.000000
50,0.278943
500,0.333333
501,0.203795
502,0.200000
503,1.000000
504,0.000000
505,0.315465
506,0.000000
507,0.000000
508,0.333333
509,0.000000
51,0.000000
510,0.000000
