qid,map
0,0.000000
1,0.200000
10,0.000000
100,0.333333
101,0.100000
102,0.025000
103,0.071429
104,0.000000
105,0.000000
106,0.021277
107,0.166667
108,0.025000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.333333
113,0.048925
114,0.200000
115,0.500000
116,1.000000
117,1.000000
118,1.000000
119,0.000000
12,0.083333
120,0.000000
121,0.333333
122,1.000000
123,0.000000
124,0.000000
125,0.166667
126,0.000000
127,0.058824
128,0.000000
129,0.030303
13,0.031250
130,0.022727
131,0.000000
132,0.000000
133,0.083333
134,0.000000
135,0.000000
136,0.000000
137,0.000000
138,0.500000
139,1.000000
14,0.125000
140,0.000000
141,0.050000
142,0.000000
143,0.000000
144,0.000000
145,0.058824
146,0.125000
147,0.000000
148,1.000000
149,0.000000
15,0.000000
150,0.000000
151,1.000000
152,0.000000
153,0.142857
154,0.071429
155,0.000000
156,0.000000
157,0.000000
158,0.000000
159,0.023810
16,0.111111
160,0.000000
161,0.000000
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
17,0.000000
170,0.500000
171,1.000000
172,1.000000
173,0.047619
174,0.000000
175,1.000000
176,0.000000
177,0.000000
178,0.200000
179,0.000000
18,0.000000
180,0.000000
181,1.000000
182,0.000000
183,0.500000
184,1.000000
185,0.000000
186,0.000000
187,0.250000
188,0.000000
189,0.500000
19,0.500000
190,0.000000
191,0.111111
192,0.090909
193,0.000000
194,0.000000
195,0.000000
196,0.071429
197,0.000000
198,0.000000
199,0.000000
2,0.100000
20,0.058824
200,0.062500
201,1.000000
202,0.000000
203,0.000000
204,0.000000
205,0.000000
206,0.000000
207,0.000000
208,0.000000
209,0.000000
21,0.000000
210,0.066667
211,0.024390
212,0.022727
213,0.000000
214,0.000000
215,0.500000
216,0.058824
217,0.125000
218,0.000000
219,0.000000
22,0.142857
220,0.500000
221,0.000000
222,0.111111
223,1.000000
224,0.000000
225,0.083333
226,0.000000
227,0.083333
228,0.000000
229,0.000000
23,0.000000
230,0.000000
231,0.000000
232,0.000000
233,0.200000
234,0.000000
235,0.583333
236,0.000000
237,1.000000
238,0.000000
239,0.000000
24,0.000000
240,0.500000
241,0.047619
242,0.125000
243,0.000000
244,0.000000
245,0.500000
246,0.111111
247,0.071429
248,0.090909
249,0.000000
25,1.000000
250,0.000000
251,0.000000
252,0.000000
253,0.200000
254,1.000000
255,0.125000
256,1.000000
257,0.000000
258,0.500000
259,1.000000
26,0.576923
260,0.000000
261,0.000000
262,0.000000
263,0.023256
264,0.021739
265,0.066667
266,1.000000
