qid,ndcg@50
0,0.000000
1,0.386853
10,0.000000
100,0.500000
101,0.289065
102,0.139595
103,0.255958
104,0.000000
105,0.000000
106,0.179052
107,0.356207
108,0.186652
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.500000
113,0.246393
114,0.386853
115,0.630930
116,1.000000
117,1.000000
118,1.000000
119,0.000000
12,0.218407
120,0.000000
121,0.500000
122,1.000000
123,0.000000
124,0.000000
125,0.356207
126,0.000000
127,0.239812
128,0.000000
129,0.196562
13,0.150007
130,0.182088
131,0.000000
132,0.000000
133,0.270238
134,0.000000
135,0.000000
136,0.000000
137,0.000000
138,0.630930
139,1.000000
14,0.315465
140,0.000000
141,0.227670
142,0.000000
143,0.000000
144,0.000000
145,0.239812
146,0.315465
147,0.000000
148,1.000000
149,0.000000
15,0.000000
150,0.000000
151,1.000000
152,0.000000
153,0.333333
154,0.255958
155,0.000000
156,0.000000
157,0.000000
158,0.000000
159,0.184289
16,0.301030
160,0.000000
161,0.000000
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
17,0.000000
170,0.630930
171,1.000000
172,1.000000
173,0.224244
174,0.000000
175,1.000000
176,0.000000
177,0.000000
178,0.386853
179,0.000000
18,0.000000
180,0.000000
181,1.000000
182,0.000000
183,0.630930
184,1.000000
185,0.000000
186,0.000000
187,0.430677
188,0.000000
189,0.630930
19,0.630930
190,0.000000
191,0.301030
192,0.278943
193,0.000000
194,0.000000
195,0.000000
196,0.255958
197,0.000000
198,0.000000
199,0.000000
2,0.237198
20,0.239812
200,0.244651
201,1.000000
202,0.000000
203,0.000000
204,0.000000
205,0.000000
206,0.000000
207,0.000000
208,0.000000
209,0.000000
21,0.000000
210,0.250000
211,0.185449
212,0.182088
213,0.000000
214,0.000000
215,0.630930
216,0.239812
217,0.315465
218,0.000000
219,0.000000
22,0.333333
220,0.630930
221,0.000000
222,0.301030
223,1.000000
224,0.000000
225,0.270238
226,0.000000
227,0.270238
228,0.000000
229,0.000000
23,0.000000
230,0.000000
231,0.000000
232,0.000000
233,0.386853
234,0.000000
235,0.693426
236,0.000000
237,1.000000
238,0.000000
239,0.000000
24,0.000000
240,0.630930
241,0.224244
242,0.315465
243,0.000000
244,0.000000
245,0.630930
246,0.301030
247,0.255958
248,0.278943
249,0.000000
25,1.000000
250,0.000000
251,0.000000
252,0.000000
253,0.386853
254,1.000000
255,0.315465
256,1.000000
257,0.000000
258,0.630930
259,1.000000
26,0.774190
260,0.000000
261,0.000000
262,0.000000
263,0.183169
264,0.180031
265,0.250000
266,1.000000
267,0.630930
268,0.630930
269,0.000000
27,0.430677
270,0.208015
271,0.198240
272,0.000000
273,0.000000
274,0.215338
275,0.630930
276,0.630930
277,0.203795
278,0.000000
279,0.210310
28,0.301030
280,1.000000
281,1.000000
282,0.000000
283,0.386853
284,0.500000
285,0.000000
286,1.000000
287,0.000000
288,0.203795
289,0.430677
29,0.208015
290,1.000000
291,0.239812
292,0.000000
293,1.000000
294,0.430677
295,0.386853
296,0.000000
297,0.000000
298,0.255958
299,0.333333
3,0.127544
30,0.000000
300,0.000000
301,0.000000
302,0.000000
303,0.000000
304,0.000000
305,1.000000
306,1.000000
307,0.000000
308,0.000000
309,0.430677
31,0.333333
310,0.000000
311,0.156940
312,0.000000
313,0.356207
314,0.766434
315,0.000000
316,0.000000
317,1.000000
318,0.221065
319,0.182088
32,0.333333
320,1.000000
321,0.000000
322,1.000000
323,0.000000
324,0.000000
325,0.000000
326,0.000000
327,0.630930
328,0.237198
329,1.000000
33,0.193426
330,1.000000
331,0.000000
332,0.630930
333,0.200000
334,0.184576
335,0.184576
336,0.000000
337,0.000000
338,0.278943
339,0.239812
34,0.000000
340,0.000000
341,0.000000
342,0.250000
343,0.000000
344,0.000000
345,1.000000
346,0.191959
347,0.000000
348,0.000000
349,0.000000
35,0.186652
350,0.000000
351,0.500000
352,0.000000
353,0.000000
354,0.000000
355,0.221065
356,0.000000
357,0.193426
358,1.000000
359,0.630930
36,0.198240
360,0.000000
361,1.000000
362,0.000000
363,0.000000
364,0.000000
365,1.000000
366,0.000000
367,1.000000
368,0.000000
369,0.000000
37,0.301030
370,0.315465
371,0.000000
372,0.000000
373,0.255958
374,1.000000
375,0.187902
376,1.000000
377,0.205847
378,0.000000
379,0.000000
38,0.000000
380,0.000000
381,0.301030
382,0.000000
383,0.221065
384,0.000000
385,0.000000
386,0.255958
387,0.210310
388,0.270238
389,0.000000
39,0.000000
390,0.289065
391,0.315465
392,0.000000
393,0.000000
394,0.000000
395,0.000000
396,1.000000
397,0.000000
398,1.000000
399,0.255958
4,0.000000
40,0.210310
400,0.386853
401,0.000000
402,0.218104
403,0.000000
404,0.000000
405,0.000000
406,0.000000
407,1.000000
408,0.630930
409,0.000000
41,0.000000
410,1.000000
411,0.000000
412,0.289065
413,1.000000
414,0.000000
415,0.000000
416,0.000000
417,0.193426
418,0.196562
419,0.386853
42,0.743592
420,0.315465
421,0.000000
422,0.301030
423,0.278943
424,0.000000
425,1.000000
426,0.000000
427,0.000000
428,0.630930
429,0.000000
43,0.184289
430,1.000000
431,0.000000
432,0.301030
433,0.000000
434,0.000000
435,1.000000
436,0.386853
437,0.205847
438,0.186652
439,0.000000
44,0.333333
440,0.500000
441,1.000000
442,1.000000
443,1.000000
444,0.203795
445,0.000000
446,0.190551
447,0.278943
448,1.000000
449,0.210310
45,0.218104
450,0.198240
451,0.000000
452,0.500000
453,0.356207
454,0.185449
455,0.201849
456,0.430677
457,1.000000
458,0.000000
459,1.000000
46,1.000000
460,0.000000
461,0.176291
462,0.250000
463,0.000000
464,1.000000
465,0.386853
466,0.630930
467,0.000000
468,0.630930
469,1.000000
47,0.262650
470,0.356207
471,0.000000
472,0.239812
473,0.000000
474,1.000000
475,0.000000
476,1.000000
477,1.000000
478,0.198240
479,0.235409
48,0.278943
480,0.000000
481,0.176291
482,0.000000
483,1.000000
484,0.000000
485,0.198240
486,1.000000
487,0.000000
488,0.244651
489,0.630930
49,0.000000
490,0.333333
491,0.255958
492,0.201849
493,0.630930
494,0.193426
495,0.000000
496,0.262650
497,0.386853
498,0.186652
499,0.500000
5,1.000000
50,0.000000
500,1.000000
501,0.000000
502,0.000000
503,1.000000
504,0.000000
505,0.203795
506,0.000000
507,0.000000
508,1.000000
509,0.201849
51,0.250000
510,0.000000
511,0.630930
512,0.301030
513,0.500000
514,0.630930
515,0.194959
516,0.315465
517,0.221065
518,1.000000
519,0.000000
52,0.356207
520,0.210310
521,0.000000
522,0.000000
523,0.630930
524,1.000000
525,1.000000
526,0.500000
527,0.000000
528,0.224244
529,1.000000
53,0.264068
530,1.000000
531,0.500000
532,0.000000
533,0.430677
534,0.289065
535,0.500000
536,0.289065
537,0.500000
538,0.000000
539,0.221065
54,0.500000
540,0.000000
541,1.000000
542,0.630930
543,0.000000
544,0.193426
545,1.000000
546,0.215338
547,0.630930
548,1.000000
549,0.630930
55,0.000000
550,0.000000
551,0.215338
552,0.356207
553,0.333333
554,0.000000
555,0.224244
556,0.000000
557,0.000000
558,0.000000
559,0.208015
56,0.255193
560,0.255958
561,1.000000
562,1.000000
563,1.000000
564,0.244651
565,0.630930
566,0.000000
567,1.000000
568,0.430624
569,0.500000
57,0.000000
570,0.430677
571,1.000000
572,0.301030
573,0.301030
574,0.278943
575,0.000000
576,0.000000
577,1.000000
578,0.184289
579,0.289065
58,0.000000
580,0.000000
581,0.000000
582,0.208015
583,0.278943
584,1.000000
585,1.000000
586,0.630930
587,1.000000
588,1.000000
589,1.000000
59,0.000000
590,0.176291
591,0.333333
592,0.430677
593,0.333333
594,0.630930
595,0.000000
596,0.386853
6,0.270238
60,0.000000
61,0.000000
62,0.000000
63,0.000000
64,1.000000
65,0.000000
66,0.386853
67,0.000000
68,0.728359
69,0.227670
7,1.000000
70,0.000000
71,0.221065
72,0.500000
73,0.301030
74,0.613147
75,0.000000
76,0.301030
77,0.630930
78,0.000000
79,0.000000
8,0.130902
80,0.218407
81,1.000000
82,0.212746
83,0.218104
84,0.000000
85,1.000000
86,0.356207
87,0.239812
88,0.185449
89,0.630930
9,0.000000
90,0.500000
91,0.500000
92,0.000000
93,0.262390
94,0.333333
95,0.296082
96,0.346356
97,0.000000
98,1.000000
99,0.301030
