qid,map
0,0.000000
1,0.125000
10,0.000000
100,1.000000
101,0.000000
102,0.083333
103,0.500000
104,0.000000
105,0.000000
106,0.062500
107,0.000000
108,1.000000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.200000
113,1.000000
114,0.076923
115,0.000000
116,1.000000
117,1.000000
118,1.000000
119,0.000000
12,0.000000
120,0.026316
121,0.043478
122,0.500000
123,0.000000
124,0.000000
125,0.166667
126,0.166667
127,0.000000
128,0.000000
129,0.250000
13,0.000000
130,0.000000
131,0.000000
132,0.000000
133,1.000000
134,0.026316
135,0.000000
136,0.000000
137,0.000000
138,0.125000
139,1.000000
14,1.000000
140,0.090909
141,0.250000
142,0.000000
143,0.000000
144,0.000000
145,0.000000
146,0.000000
147,0.000000
148,0.083333
149,0.000000
15,0.000000
150,0.000000
151,0.027778
152,0.035714
153,0.020000
154,0.000000
155,0.000000
156,0.020000
157,0.000000
158,0.000000
159,0.000000
16,1.000000
160,0.166667
161,0.000000
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
17,0.000000
170,0.000000
171,0.023810
172,1.000000
173,0.000000
174,0.333333
175,1.000000
176,0.000000
177,0.000000
178,1.000000
179,0.000000
18,0.000000
180,0.000000
181,0.250000
182,0.076923
183,1.000000
184,0.250000
185,0.000000
186,0.333333
187,0.037037
188,0.000000
189,0.000000
19,0.040000
190,0.000000
191,0.000000
192,0.047619
193,0.000000
194,0.000000
195,0.000000
196,0.038462
197,0.000000
198,0.031250
199,0.000000
2,0.500000
20,0.000000
200,1.000000
201,0.250000
202,0.000000
203,0.142857
204,0.029412
205,0.000000
206,0.023256
207,0.000000
208,0.000000
209,0.000000
21,0.000000
210,0.021739
211,0.000000
212,0.000000
213,0.000000
214,0.000000
215,0.052632
216,0.000000
217,0.000000
218,0.000000
219,0.000000
22,0.333333
220,0.000000
221,0.000000
222,0.052632
223,0.040000
224,0.000000
225,0.000000
226,0.000000
227,0.035714
228,0.000000
229,0.000000
23,0.000000
230,0.000000
231,0.000000
232,1.000000
233,0.500000
234,0.000000
235,1.000000
236,0.000000
237,1.000000
238,0.000000
239,0.043478
24,0.000000
240,1.000000
241,0.000000
242,0.142857
243,0.083333
244,0.000000
245,1.000000
246,0.000000
247,0.062500
248,0.500000
249,0.000000
25,0.000000
250,0.000000
251,0.000000
252,0.000000
253,0.166667
254,0.500000
255,0.062500
256,0.000000
257,0.000000
258,0.083333
259,0.000000
26,0.250000
260,0.000000
261,0.000000
262,0.000000
263,0.166667
