qid,ndcg@50
0,0.000000
1,0.315465
10,0.000000
100,1.000000
101,0.000000
102,0.218407
103,0.630930
104,0.000000
105,0.000000
106,0.244651
107,0.000000
108,1.000000
109,0.000000
11,0.000000
110,0.000000
111,0.000000
112,0.386853
113,1.000000
114,0.262650
115,0.000000
116,1.000000
117,1.000000
118,1.000000
119,0.000000
12,0.000000
120,0.189200
121,0.218104
122,0.630930
123,0.000000
124,0.000000
125,0.356207
126,0.356207
127,0.000000
128,0.000000
129,0.430677
13,0.000000
130,0.000000
131,0.000000
132,0.000000
133,1.000000
134,0.189200
135,0.000000
136,0.000000
137,0.000000
138,0.315465
139,1.000000
14,1.000000
140,0.278943
141,0.430677
142,0.000000
143,0.000000
144,0.000000
145,0.000000
146,0.000000
147,0.000000
148,0.270238
149,0.000000
15,0.000000
150,0.000000
151,0.191959
152,0.205847
153,0.176291
154,0.000000
155,0.000000
156,0.130445
157,0.000000
158,0.000000
159,0.000000
16,1.000000
160,0.356207
161,0.000000
162,0.000000
163,0.000000
164,0.000000
165,0.000000
166,0.000000
167,0.000000
168,0.000000
169,0.000000
17,0.000000
170,0.000000
171,0.137494
172,1.000000
173,0.000000
174,0.500000
175,1.000000
176,0.000000
177,0.000000
178,1.000000
179,0.000000
18,0.000000
180,0.000000
181,0.430677
182,0.262650
183,1.000000
184,0.430677
185,0.000000
186,0.500000
187,0.208015
188,0.000000
189,0.000000
19,0.212746
190,0.000000
191,0.000000
192,0.224244
193,0.000000
194,0.000000
195,0.000000
196,0.210310
197,0.000000
198,0.198240
199,0.000000
2,0.613147
20,0.000000
200,1.000000
201,0.430677
202,0.000000
203,0.333333
204,0.194959
205,0.000000
206,0.183169
207,0.000000
208,0.000000
209,0.000000
21,0.000000
210,0.180031
211,0.000000
212,0.000000
213,0.000000
214,0.000000
215,0.231378
216,0.000000
217,0.000000
218,0.000000
219,0.000000
22,0.500000
220,0.000000
221,0.000000
222,0.231378
223,0.212746
224,0.000000
225,0.000000
226,0.000000
227,0.205847
228,0.000000
229,0.000000
23,0.000000
230,0.000000
231,0.000000
232,1.000000
233,0.630930
234,0.000000
235,1.000000
236,0.000000
237,1.000000
238,0.000000
239,0.218104
24,0.000000
240,1.000000
241,0.000000
242,0.333333
243,0.270238
244,0.000000
245,1.000000
246,0.000000
247,0.244651
248,0.630930
249,0.000000
25,0.000000
250,0.000000
251,0.000000
252,0.000000
253,0.356207
254,0.630930
255,0.244651
256,0.000000
257,0.000000
258,0.270238
259,0.000000
26,0.386853
260,0.000000
261,0.000000
262,0.000000
263,0.356207
264,0.182088
265,0.000000
266,1.000000
267,0.630930
268,0.270238
269,0.000000
27,1.000000
270,0.289065
271,0.000000
272,0.000000
273,0.000000
274,1.000000
275,0.630930
276,0.270238
277,0.255958
278,0.000000
279,0.430677
28,0.386853
280,0.270238
281,0.262650
282,0.270238
283,1.000000
284,0.500000
285,0.000000
286,1.000000
287,0.630930
288,0.205847
289,0.194959
29,0.262650
290,0.227670
291,0.500000
292,0.000000
293,0.278943
294,0.250000
295,0.630930
296,0.000000
297,0.000000
298,0.231378
299,0.000000
3,0.000000
30,0.000000
300,0.000000
301,0.000000
302,0.000000
303,0.000000
